,A,B,C
0,578,85,546
1,1182,34,395
2,311,8,448
3,684,590,823
4,167,275,134
5,685,107,811
6,19,138,711
7,325,464,361
8,7,111,209
9,753,280,551
10,775,456,626
11,351,100,849
12,945,631,677
13,537,293,74
14,1055,208,838
15,871,332,387
16,1075,626,775
17,491,652,579
18,892,213,354
19,803,63,159
20,324,364,28
21,738,286,150
22,225,182,497
23,607,670,179
24,362,160,528
25,921,637,758
26,1051,164,146
27,698,310,490
28,1141,82,519
29,678,694,298
30,1102,106,890
31,75,525,7
32,261,70,284
33,261,602,494
34,7,514,718
35,5,154,366
36,579,634,719
37,664,207,495
38,317,194,121
39,636,251,208
40,399,526,714
41,462,674,522
42,335,626,586
43,136,165,508
44,733,202,129
45,794,315,513
46,305,58,494
47,219,409,18
48,455,181,817
49,965,317,251
50,586,140,790
51,1002,206,218
52,137,390,319
53,1116,621,723
54,231,668,683
55,951,147,7
56,1032,380,459
57,18,615,20
58,144,605,840
59,136,141,348
60,347,38,878
61,182,326,664
62,406,76,568
63,1168,605,519
64,1047,169,787
65,813,262,829
66,861,612,494
67,551,603,573
68,503,389,60
69,468,347,813
70,279,378,132
71,1151,556,209
72,90,345,294
73,727,220,897
74,861,241,161
75,257,697,885
76,127,337,168
77,390,423,170
78,656,50,346
79,612,73,177
80,719,338,506
81,690,92,106
82,201,225,213
83,1088,627,64
84,779,61,156
85,431,519,722
86,805,43,153
87,271,406,114
88,691,207,427
89,436,491,438
90,1047,275,807
91,133,141,575
92,693,572,868
93,291,267,516
94,789,265,750
95,404,398,748
96,72,699,600
97,1023,521,428
98,469,553,365
99,915,661,81
100,1196,269,335
101,439,414,107
102,720,225,518
103,659,606,720
104,1161,130,525
105,886,293,784
106,607,687,508
107,978,257,89
108,381,79,720
109,149,129,747
110,1060,541,464
111,171,26,268
112,952,678,769
113,299,301,446
114,1127,353,738
115,9,432,826
116,82,485,595
117,238,262,193
118,1165,551,503
119,693,384,861
120,968,29,745
121,237,541,798
122,1105,616,253
123,69,687,94
124,687,440,487
125,531,520,263
126,813,298,441
127,960,43,241
128,302,579,260
129,181,529,359
130,530,42,91
131,1037,215,192
132,601,393,418
133,740,311,649
134,46,473,100
135,956,134,446
136,871,574,755
137,23,555,847
138,569,194,257
139,776,298,860
140,808,321,92
141,483,60,250
142,518,223,50
143,334,562,8
144,714,483,471
145,683,547,449
146,383,322,502
147,391,10,217
148,940,233,402
149,476,547,318
150,529,485,295
151,222,188,384
152,957,546,333
153,317,255,302
154,1090,21,399
155,1006,239,423
156,220,348,858
157,94,397,727
158,582,260,221
159,44,419,60
160,922,211,334
161,690,120,176
162,1092,629,807
163,649,489,421
164,472,8,815
165,226,308,175
166,1199,67,319
167,167,147,890
168,932,129,639
169,954,671,501
170,1093,640,689
171,729,646,712
172,578,482,781
173,1018,683,297
174,84,587,10
175,699,470,840
176,626,93,175
177,244,38,820
178,556,110,303
179,968,531,334
180,70,446,324
181,825,242,458
182,94,243,500
183,389,246,15
184,108,12,170
185,1008,696,364
186,955,392,629
187,1054,617,311
188,682,120,696
189,765,488,534
190,128,687,319
191,637,696,668
192,842,391,512
193,871,574,104
194,810,574,304
195,966,143,164
196,371,637,18
197,50,422,465
198,639,573,136
199,404,53,888
200,182,570,773
201,672,628,815
202,849,176,377
203,976,637,854
204,1071,542,836
205,350,329,604
206,882,190,357
207,1181,162,624
208,835,22,504
209,928,396,532
210,702,112,695
211,602,583,649
212,12,229,404
213,768,415,887
214,842,336,406
215,1042,685,853
216,1190,541,797
217,744,411,426
218,458,165,383
219,593,164,684
220,1037,390,294
221,207,298,115
222,683,466,562
223,53,620,263
224,813,29,828
225,262,377,701
226,611,368,102
227,769,380,556
228,1132,191,403
229,817,535,153
230,221,290,102
231,618,365,841
232,190,208,484
233,145,173,442
234,147,485,229
235,1180,602,369
236,710,456,265
237,828,475,801
238,188,149,655
239,23,201,455
240,234,618,709
241,672,87,305
242,970,233,229
243,779,281,167
244,355,333,50
245,1011,165,532
246,425,671,900
247,718,681,219
248,1091,528,394
249,1061,177,685
250,1067,669,596
251,570,6,37
252,283,612,406
253,833,544,705
254,847,222,614
255,154,79,432
256,111,490,220
257,806,357,320
258,180,340,503
259,537,450,311
260,769,313,604
261,754,317,299
262,311,489,227
263,140,453,820
264,584,57,547
265,711,95,42
266,261,321,564
267,435,320,153
268,937,171,895
269,262,157,155
270,1140,21,626
271,1109,278,862
272,193,82,591
273,797,281,29
274,158,564,504
275,226,278,24
276,616,372,830
277,894,585,671
278,881,285,414
279,242,272,850
280,292,189,376
281,762,22,308
282,1134,663,327
283,1009,456,233
284,748,549,189
285,442,437,498
286,104,510,25
287,192,548,172
288,472,136,171
289,77,439,686
290,1030,166,469
291,593,569,621
292,514,387,481
293,355,186,309
294,194,511,308
295,244,459,622
296,575,331,553
297,215,480,722
298,596,223,177
299,1136,23,467
300,480,325,649
301,529,471,898
302,661,588,77
303,145,646,900
304,853,70,258
305,1194,216,600
306,424,368,228
307,64,285,17
308,144,499,610
309,292,389,1
310,763,611,550
311,959,576,794
312,441,546,545
313,1099,200,226
314,144,696,413
315,293,441,282
316,711,439,859
317,1186,515,539
318,469,242,864
319,413,58,800
320,276,685,897
321,651,513,770
322,172,430,619
323,485,538,109
324,534,692,541
325,436,78,851
326,1186,140,793
327,250,206,106
328,765,324,749
329,190,511,600
330,931,219,433
331,263,120,241
332,879,98,186
333,1162,405,532
334,569,17,346
335,16,45,813
336,1013,559,291
337,922,489,228
338,293,21,221
339,1169,456,617
340,253,520,852
341,104,106,673
342,765,59,85
343,347,641,498
344,1004,189,234
345,408,497,625
346,854,225,58
347,581,262,612
348,496,657,25
